OBJECTID,Walkscore,POI,households,District,Population,2024MediumHouseholdIncome,2024PerCapitaIncome,POINT_X,POINT_Y
184,18.5,42,864,9,1479,123297,82520,2215496.969,1384658.69
185,35.3,59,3138,8,5212,96807,80880,2220243.314,1384658.69
186,20.2,9,2207,8,3878,101322,91390,2224989.659,1384658.69
187,25,43,1653,8,3583,151051,108259,2229736.004,1384658.69
188,32.1,54,2493,6,4341,124397,98782,2234482.349,1384658.69
189,8.7,12,836,6,1933,154762,96010,2239228.694,1384658.69
190,9.5,8,1230,6,2567,119175,72112,2243975.039,1384658.69
191,6.7,5,1506,6,2695,64125,51744,2248721.384,1384658.69
192,1,0,278,9,651,85452,56178,2198884.761,1388769.146
193,8,15,528,9,1248,154078,72572,2203631.106,1388769.146
194,12.5,18,832,9,1997,169346,77755,2208377.451,1388769.146
195,22.3,26,2217,9,4241,104775,73035,2213123.796,1388769.146
196,20.4,19,1813,8,3764,103438,76714,2217870.141,1388769.146
197,9.8,12,627,8,1935,200001,99338,2222616.486,1388769.146
198,30.4,45,3563,8,5743,116177,97593,2227362.831,1388769.146
199,16.3,12,1926,7,3787,128139,98762,2232109.176,1388769.146
200,35.2,24,3488,6,6066,89838,68754,2236855.521,1388769.146
201,23.6,39,2504,6,4267,90542,67951,2241601.866,1388769.146
202,1,0,0,8,0,0,0,2206004.279,1392879.601
203,2.7,0,261,8,850,200001,100757,2210750.624,1392879.601
204,4.4,0,397,8,1253,200001,120000,2215496.969,1392879.601
205,7,10,420,8,1374,200001,106714,2220243.314,1392879.601
206,7.1,4,462,8,1333,200001,122894,2224989.659,1392879.601
207,22.2,26,2915,8,5261,121126,107041,2229736.004,1392879.601
208,25.2,43,2202,7,3820,87168,76223,2234482.349,1392879.601
209,27.6,32,2768,7,4914,92477,70723,2239228.694,1392879.601
210,1.2,0,190,8,527,200001,117616,2208377.451,1396990.056
211,3.2,0,187,8,581,200001,119174,2213123.796,1396990.056
212,18.8,15,1595,8,2834,86253,79267,2217870.141,1396990.056
213,6.7,7,492,8,1467,200001,117810,2222616.486,1396990.056
214,4.2,1,411,8,1220,200001,117708,2227362.831,1396990.056
215,60.1,117,6576,8,9792,102354,101647,2232109.176,1396990.056
216,24.4,64,1455,7,2947,117427,85265,2236855.521,1396990.056
217,10.9,0,1458,7,3298,126826,97034,2241601.866,1396990.056
218,1.3,0,385,8,995,200001,125848,2206004.279,1401100.512
219,1.4,0,111,8,356,200001,113293,2210750.624,1401100.512
220,12.2,23,535,8,967,171060,109538,2215496.969,1401100.512
221,4.1,1,257,8,795,200001,121362,2220243.314,1401100.512
222,2.1,0,201,8,527,200001,131306,2224989.659,1401100.512
223,16.9,14,1105,8,2114,121718,101880,2229736.004,1401100.512
224,49.1,89,5444,7,8189,108303,98685,2234482.349,1401100.512
225,38.5,45,4976,7,8173,115862,102189,2239228.694,1401100.512
226,5.7,0,411,8,898,200001,136212,2208377.451,1405210.967
227,9.7,7,449,8,977,133937,103745,2213123.796,1405210.967
228,1.9,0,142,8,334,200001,122318,2217870.141,1405210.967
229,3.1,1,247,8,763,200001,126897,2222616.486,1405210.967
230,2.1,0,252,8,729,200001,144019,2227362.831,1405210.967
231,18.3,27,1794,8,3316,159829,109668,2232109.176,1405210.967
232,8.1,0,552,7,1681,200001,124262,2236855.521,1405210.967
233,9.3,2,1468,7,2718,135203,105010,2241601.866,1405210.967
234,12.4,1,1460,8,2334,100826,75365,2210750.624,1409321.422
235,1.7,0,158,8,549,196317,96726,2215496.969,1409321.422
236,3.8,1,286,8,886,200001,88323,2220243.314,1409321.422
237,6.1,1,386,8,1046,200001,122030,2224989.659,1409321.422
238,16.7,37,660,8,1410,118336,89309,2229736.004,1409321.422
239,7,2,661,7,1784,200001,102701,2234482.349,1409321.422
240,5.1,1,501,7,1479,200001,111024,2239228.694,1409321.422
241,1.5,0,297,8,821,200001,118491,2222616.486,1413431.878
242,2.7,0,481,8,1429,200001,111576,2227362.831,1413431.878
